X,Y,y1,y2,y3,y4,y5,y6,y7,y8
2604.14,3187.72,2606.05,3211.85,2607.96,3206.53,2609.88,3260.7,2611.79,3262.91
2613.7,3239.12,2615.62,3259.09,2617.53,3252.46,2619.44,3231.26,2621.36,3227.52
2623.27,3207.38,2625.18,3236.67,2627.1,3272.47,2629.01,3287.11,2630.92,3253.53
2632.84,3249.35,2634.75,3270.13,2636.66,3278.17,2638.58,3296.72,,
2640.49,3354.67,2642.4,3331.19,2644.32,3364.45,2646.23,3340.83,2648.14,3367.13
2650.06,3406.3,2651.97,3438.52,2653.88,3469.55,2655.8,3470.4,2657.71,3482.19
2659.63,3502.73,2661.54,3491.41,2663.45,3526.46,2665.37,3522.74,,
2667.28,3508.64,2669.19,3488.76,2671.11,3496.78,2673.02,3539.83,,
2674.93,3545.16,2676.85,3525.04,2678.76,3560.94,2680.67,3558.3,2682.59,3583.57
2684.5,3638.37,2686.41,3654.93,2688.33,3657.26,2690.24,3671.94,2692.15,3752.53
2694.07,3780.34,2695.98,3801.4,2697.89,3873.14,2699.81,3806.98,2701.72,3879.08
2703.63,3922.29,2705.55,3899.7,2707.46,3942.93,2709.37,3952.48,2711.29,3996.32
2713.2,4028.48,2715.11,4067.42,2717.03,4125.05,2718.94,4169.68,2720.85,4191.36
2722.77,4235.35,2724.68,4279.83,2726.59,4390.93,2728.51,4466.85,2730.42,4503.7
2732.33,4505.19,2734.25,4559.01,2736.16,4585.31,2738.07,4620.31,,
2739.99,4609.04,2741.9,4527.72,2743.81,4499.09,2745.73,4488.38,2747.64,4445.25
2749.55,4402.58,2751.47,4305.23,2753.38,4303.09,2755.29,4253.39,,
2757.21,4216.01,2759.12,4186.46,2761.03,4133.33,2762.95,4088.9,2764.86,4080.39
2766.77,3989.24,2768.69,3982.97,2770.6,3923.64,2772.51,3924.95,2774.43,3935.1
2776.34,3872.62,2778.25,3857.59,2780.17,3848.32,2782.08,3830.73,,
2783.99,3836.91,2785.91,3800.41,2787.82,3811.49,2789.73,3817.63,,
